alpha,train accuracy,train std,test accuracy,test std
0.01,0.9652198,0.010957736,0.9370873,0.007872892
0.03162277660168379,0.9651274,0.009994356,0.9363033,0.007839512
0.1,0.9652448,0.011391876,0.9364582,0.008127585
0.31622776601683794,0.9662713,0.009406705,0.9388914,0.007256892
1.0,0.9649775,0.011827754,0.93657304,0.008372293
2.0,0.9656781,0.010625888,0.93686767,0.008567146
5.0,0.9641029,0.01303851,0.9364856,0.009185457
8.0,0.96066982,0.01154827,0.93634082,0.00952125
10.0,0.9602972,0.01473312,0.93401,0.0108917794
