beta,train accuracy,train std,test accuracy,test std
1e-06,0.9671516,0.008833354,0.93187274,0.005935067
3.162277660168379e-06,0.9626861,0.011090982,0.930754,0.0069603208
1e-05,0.9644218,0.011367017,0.930869,0.007067331
3.1622776601683795e-05,0.9653072,0.011133558,0.93188257,0.006845278
0.0001,0.9655033,0.008629516,0.9318726,0.0055065667
0.00031622776601683794,0.96479393,0.0114634875,0.9312284,0.007346975
0.001,0.96199805,0.011383893,0.9304045,0.006475017
0.0031622776601683794,0.9614997,0.010677834,0.92994005,0.0052004084
0.01,0.9559478,0.009551903,0.92718847,0.006106816
0.03162277660168379,0.9447853,0.010932173,0.9216454,0.0070629437
0.1,0.9278371,0.0124237435,0.9090411,0.009493997
0.31622776601683794,0.8944305,0.027032577,0.88164044,0.022565475
1.0,0.84712786,0.024559263,0.838794,0.020957574
3.1622776601683795,0.78251875,0.018057432,0.7778852,0.019998861
10.0,0.7197602,0.0477769,0.7169064,0.050889242
31.622776601683793,0.6727485,0.05880914,0.67328096,0.06143671
100.0,0.66200807,0.05775596,0.65219725,0.057896737
316.22776601683796,0.6693794,0.077354625,0.66987015,0.07699023
1000.0,0.6678296,0.08184385,0.66746313,0.081338964
3162.2776601683795,0.6545217,0.06700576,0.65338577,0.06631426
10000.0,0.674503,0.07346692,0.67452186,0.07236215
31622.776601683792,0.65549696,0.06949272,0.6559276,0.069714755
100000.0,0.6703197,0.07836531,0.6679301,0.07922646
